,Florida,California,Texas,New York,Virginia,Washington,Michigan,Colorado,New Jersey,Massachusetts,Connecticut,Utah,Ohio,Alabama,the District of Columbia,Arizona,Pennsylvania,North Carolina,Illinois,Nevada,Georgia,Maryland,Montana,New Hampshire,South Carolina,Minnesota,Louisiana,Arkansas,Iowa,Rhode Island,Hawaii,Indiana,Wyoming,New Mexico,Missouri,Maine,Tennessee,Idaho,Vermont,Oregon,Mississippi,West Virginia,Kansas,Kentucky,South Dakota,Delaware,Wisconsin,North Dakota,Nebraska,Oklahoma,Alaska
2000-01-01,107549.75910454872,187986.83492898985,112895.97675961301,150045.9773378864,123684.55251134657,173367.82356729527,113899.82429258744,176682.18699602378,167343.43898565392,193455.89960476395,159277.54384216803,167774.93439762344,103039.43539603359,99596.34661705472,159900.66811736298,135677.687314964,98231.4248607932,128752.45491866679,126034.00958695087,154526.79681587298,125670.5033762191,151017.12580057597,,131212.19631506238,113906.02846461096,122954.23092504166,108384.854936369,88686.24899854095,89130.28398467881,130292.80464864895,192814.69668320016,96588.78746604688,,,96515.54580957434,104273.2095260961,111840.29975080401,122787.50899385872,112752.0029692764,150190.5894627417,89095.49358702156,72317.78785629652,87678.60055334354,89439.19455763475,106063.48103944655,146615.95573398398,117744.4892353172,,114189.52330872213,82670.96408980938,134147.01396997814
2000-02-01,107782.72189424513,188618.71479171992,112957.32734959247,150580.28840891892,124004.60263351107,173758.87883360335,113962.55759653849,177309.5361968714,167794.5381757006,194101.78450028726,159884.34987012603,167866.85547177814,103102.4018380174,99769.77970359725,160423.66862580454,135923.43949390476,98441.53443934434,128948.33513554024,126135.014119996,154546.11314265023,125955.87935760764,150996.1801008206,,131657.94469994179,114157.48709360413,123368.09938590718,108593.9195303205,88804.77394287853,89300.60777272025,130885.36517580722,192725.488767729,96455.98011235468,,,96628.66946563555,104620.12840682223,111933.59790265458,122713.07331969001,112940.80327086659,150520.87452754274,89046.63081439746,72314.69226673053,87695.81202825945,89485.37157470058,105838.13118238625,146844.05651275278,117710.31624684109,,114372.05998170329,82705.0660722958,134299.37663752708
2000-03-01,108065.11923228724,189471.90733579788,112987.08334687194,151094.64898068097,124343.93089177828,174157.79002161638,114192.2285422824,178002.8219655523,168224.96627430603,194870.28560524803,160517.95622342872,168011.1713468316,103197.89378513659,99885.98324587195,161165.75241686686,136239.7270621384,98638.98100395301,129150.08782591246,126353.3399500737,154785.27881570059,126285.1555807725,151103.1804638583,,132190.06084938708,114362.38771640106,123753.15620479442,108756.38029186497,88939.25047386116,89461.40056819409,131507.65120252172,193021.4204349278,96306.816136694,,,96798.0339415577,104929.88266553893,112028.75179255573,122760.23492291942,113237.30759007978,150822.6130989415,89044.50508947257,72338.0676040036,87797.2123288294,89569.38876741113,105522.77073120275,147128.06251401114,117842.04050044721,,114541.23790579097,82864.0263382515,134451.65961993008
2000-04-01,108639.16038648035,191323.93395205776,113134.76500002063,152200.89874293044,124985.1484453893,174962.8947808385,114649.73216295836,179552.9840205396,169178.5934709017,196383.90872832085,161591.4101645129,168373.26237573058,103478.69246346259,100146.3139742173,162756.93276422727,136885.56804778308,99041.34710032138,129587.72504679143,126866.94858481151,155333.3693360441,126978.42656451219,151361.3755056487,,132988.84095102779,114832.09232242055,124657.02983278474,109122.63894910128,89226.37959852557,89808.70860705797,132737.1868469742,193534.7644727213,95853.37377351936,,,97185.16311974614,105612.28913243032,112257.68453398177,122858.15297781497,113819.92109131259,151455.79151747402,89108.73822983156,72397.23196860512,87948.79872084771,89778.17917722497,105097.69866583838,147777.57780467285,118031.20912092307,,114803.8533790692,83153.48464884235,134630.25196517576
2000-05-01,109258.20191178574,193476.63590214797,113230.40595456307,153345.47179757457,125604.17375707028,175841.61600374055,115324.41648034322,181283.23362818197,170150.74141804688,198022.33121657415,162473.5047224334,169685.49801903998,103906.8406211186,100436.67060116907,164522.84849326467,137617.6379394022,99454.67782896086,130075.27722940786,127476.3612848872,156031.78316651846,127743.07684606961,151901.683746708,,133863.1515668376,115270.63478770411,125648.59775781765,109510.68627456953,89509.57802144164,90192.430361806,133962.36374609565,194540.36199920598,95634.28025201808,,,97685.2218174743,106255.11956344229,112521.76613309019,123177.44610892663,114490.85843834195,152020.4519642156,89421.30842290912,72512.65866778481,88177.30163493061,90055.66742559744,104920.8562654908,148518.37890267698,118408.61546856508,,114937.02817627863,83542.27217449743,134899.1087479564
2000-06-01,109889.82371510948,195799.39505283907,113337.6427474512,154583.07179870576,126201.9521833697,176680.47107096843,116065.42268425965,183151.62757965885,171310.99015363035,199797.5316531662,163347.19848901322,171132.16068202333,104438.08333654706,100787.72339721658,166419.68228802911,138274.59778463468,99879.46999778775,130593.91322863918,128161.2634130754,156658.78640723968,128553.34877218312,152554.94771181644,,134786.77553618074,115753.69709408458,126795.0381356592,109933.3951339578,89781.47109814464,90579.73887123342,134895.85566713297,195676.02818237184,95698.99585177576,,,98237.81830972228,106976.79052739269,112783.85538775248,123567.67623795108,115117.31983400557,152544.57163875992,89868.5096627004,72704.40874819993,88435.04733542229,90360.70888893254,104799.68217347201,149335.67238626097,118851.56824723001,,115015.83735523054,83910.85108327126,135100.09535983254
2000-07-01,110524.44913710194,198252.39462235593,113408.11391238653,155695.66980615,126927.59174660104,177591.80024340222,116929.90530300986,185044.79168346,172623.9185708443,201898.25376769062,164323.68299527702,172582.41106551417,104963.24574836517,101112.7848850683,168220.48484775957,138942.6614305284,100330.57308179862,131100.36930789342,128904.13462626566,157144.74493589066,129372.10687775393,153328.09758238107,,136068.57292525787,116222.46381477833,128056.09347802408,110346.64187553372,90044.27475310596,90973.0655257547,135749.0035628136,196811.7428943762,96169.2815627145,,,98838.59367375831,107752.84791356295,113067.35939098615,123953.5813451479,115741.33894964296,152980.96299098336,90281.51251441764,72956.38797745256,88770.3173542422,90704.63495429429,104715.18089588587,150167.2346129784,119438.16096464328,,115107.116706022,84292.516717278,135519.49041396182
2000-08-01,111170.78258922575,200813.45570499622,113616.59530946291,156669.56033704206,127783.29301043437,178433.87241465456,117802.53408863353,187099.90723431352,174219.31328011278,204483.41172831855,165505.02644880826,173179.76915423025,105473.66818824182,101406.543032591,169769.49292652166,139584.39134389945,100761.1998195342,131577.96467555998,129961.52288916109,157612.9405433217,130237.5857250571,154045.58129439448,,137570.2218453219,116738.5011985427,129783.19593616838,110673.3944850661,90343.25404682332,91309.41744173541,136603.88386205002,198125.88928030946,96648.63354325407,,,99486.41998513031,108560.20343500352,113359.96724436352,124343.33256735618,116386.49245251762,153447.07032806575,90674.86731236677,73285.99561072607,89134.39068158623,91098.07659220633,104559.9203103244,150976.4088776778,120086.48228728527,,115325.56637840743,84647.80968751817,135716.7478659085
2000-09-01,111840.71180881998,203380.46005592294,113889.98787696751,157534.95559833682,128718.42178459444,179200.36123702463,118636.58811577344,189257.2926741607,175983.4954156851,207388.31685716053,166748.8697477947,173702.07636275096,105975.19267763778,101721.65164036573,170933.03374040546,140294.1404364959,101199.96810819523,132044.11755672234,131205.03015069084,158176.4314929667,131122.15392714823,154778.86325747558,,139183.49146457834,117271.23972889224,131568.666911379,111045.53269425336,90681.41369683761,91660.27053420983,137657.1960318079,199424.87374850662,97023.20995649887,,,100138.6946967098,109400.38504689104,113709.56400325442,124669.60942345095,117099.7311314725,153839.00645074074,91025.27464917449,73581.1357654751,89475.41719251113,91534.76247765071,104776.22067735228,151723.35383957732,120735.91695070568,,115592.40348655319,84970.7772486527,135896.69089249978
2000-10-01,112524.6049959304,205814.8130594192,114182.9332683112,158462.545465844,129603.2053855743,179867.79203447315,119415.56018667163,191400.11472789905,177767.40752821314,210456.92109473352,168110.06107899858,174143.2487330398,106459.6730229117,102083.2236601258,171229.4725770368,140977.99706638788,101620.7630102593,132536.94362320713,132640.2641631714,158809.94002308985,132041.51600448578,155552.69088464612,,141039.69071019973,117795.6087786402,133395.9360456097,111486.22149333252,91021.13039777911,92092.68768419242,138712.96052686067,200784.69964316522,97481.78791392385,,,100832.09975738755,110194.7130355716,114048.14157086662,124984.66116252978,117958.04838944494,154232.7044824667,91511.44830692183,73921.53929554582,89824.07299136186,91942.72480763792,105018.6578808636,152390.3767580214,121371.80848933435,,115872.5898227857,85259.41211871669,135839.00028794006
